,CUSTOMER_CODE,CUSTOMER_NAME,YEAR,MONTH,SUB_CUSTOMER_CODE,SUB_CUSTOMER_NAME,A9,A9-S,ATMT,C&S,C4,C4 SG,C9,CAP,CVS,Compact ATS,D3N,DP_Basic,E7,E9,EDM_x,EVS,EZD,EZS,EZS-S,Enclosure,FUPACT,HMI,INSm,KTS,KTS-C,KTS-C-保利,LEC,LS8,M_x,M9,MET_Anologic Meter & CT,MET_Basic,MET_DIN Rail Basic,MT,MTZ,MVS,Motion,NSX,Osmart,Other,P-H,P-M,PR,PR-保利,PRS,S-MA,S-OEM,S-SW,SPD_x,TVR,TeSys-D,TeSys-G,V_x,WATSG,WATSK,WATSN,WATSN&WATSG,WATSNK,WEFP,WG,WGR,WM5G,WP5,WPFP,WQ5,WTS,iARC,iPEU,iSCB,ACB,ATS,C,DPLVP.DIS,DPLVP.Dist,EA,EDM_y,M_y,MCB,MCCB,P,PCP,S,SPD_y,V_y,MONTH_AGG
16,99301,杭州海得电气科技有限公司,2022,1,CP99009902,乐清市海芙林电气有限公司,,,,49.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.13,,,,,,,,,,,,,49.13
17,99301,杭州海得电气科技有限公司,2022,1,CP99010156,浙江省台州成套机电设备有限公司,103121.63,,,,,,,,,,,,,,,,28215.96,,,,,,,,,,,,,,,,,,,,,29112.719,,,,,,,,,,,,,14506.29,,,,,,,,,,,,,,,,,,,,,,,,,,,103121.63,57328.68,,14506.29,,,,174956.61
18,99301,杭州海得电气科技有限公司,2022,1,CP99010342,浙江巨力电机成套设备有限公司,2738.64,,,3905.64,,,,,,,3223.6602,,,,,,,,,,,,,,,,,,,,,,,,,,,313.96,6313.48,,,,,,,,,,,,175.54,,,,,,,,,,,,,,,,,,,,,10219.12,,,,,,2738.64,313.96,,3399.2002,,,,16670.92
19,99301,杭州海得电气科技有限公司,2022,1,CP99010472,泉州盛科自动化设备有限公司,,,,5936.28,,,,,,,30669.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.29,,,,,,,,,,,,,,,,,,,,,5936.28,,,,,,,,,30818.549,,,,36754.83
20,99301,杭州海得电气科技有限公司,2022,1,CP99010491,厦门弘恒自动化科技有限公司,13580.4,,,,,,,,,,,,,,,,96456.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13580.4,96456.1,,,,,,110036.5
21,99301,杭州海得电气科技有限公司,2022,1,CP99010496,厦门明坤特机电有限公司,8675.4,,,500.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7545.67,,,,,,,,,,,,85935.95,,,,,,,,,,,,,,,,,,,,,8046.64,,,,,,8675.4,,,85935.95,,,,102657.99
22,99301,杭州海得电气科技有限公司,2022,1,CP99010588,浙江博路德电力设备有限公司,132814.12,,,,,,,,,,,,275.72,101.2,,,,,,,,,,,,,,,,,,,,,,,,48773.73,,,,,,,,,,,,,6061.4,,5117.0,,,,,,,,,,,,,,,,,,,,,,,,,133191.05,48773.73,,6061.4,,,5117.0,193143.17
23,99301,杭州海得电气科技有限公司,2022,1,CP99011894,杭州恒晟电气技贸有限公司,,,,,,,,,249246.03,,,,,,,,314028.7,,,,,,,,,,,,,,,,,,,,,12215.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575490.6,,,,,,575490.6
24,99301,杭州海得电气科技有限公司,2022,1,CP99012490,杭州迈欧科技有限公司,,,,350.21,,,,,16189.3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4156.2,,,,,,,,,,,,20770.068,,,,,,,,,,,,,,,,,,,,,4506.41,,,,,,,16189.3,,20770.068,,,,41465.777
25,99301,杭州海得电气科技有限公司,2022,1,CP99012700,福州华勤机电设备有限公司,1295.32,,,,,,,,,,28.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,1578.1699,,,,,,,,,,,,4785.2603,,9412.39,,,,,,,,,,,,,,,,,,,1578.1699,,,,,,1295.32,,,4813.85,,,9412.39,17099.73
26,99301,杭州海得电气科技有限公司,2022,1,CP99013679,晋江市顺昌机械制造有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6573.35,,,,,,,,,,,,12556.78,,,,,,,,,,,,,,,,,,,,,6573.35,,,,,,,,,12556.78,,,,19130.13
27,99301,杭州海得电气科技有限公司,2022,1,CP99014970,浙江巨力科技有限公司,,,,333.58002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.07,,,,,,,,,,,,122.55,,,,,,,,,,,,,,,,,,,,,846.65,,,,,,,,,122.55,,,,969.2
28,99301,杭州海得电气科技有限公司,2022,1,CP99015749,宁波昕发电气有限公司,,,,,,,,,,,3890.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3890.76,,,,3890.76
29,99301,杭州海得电气科技有限公司,2022,1,CP99017511,福州恒瑞宏兴电气科技有限公司,,,,149.74,,,,,,,572.97,,,,1156.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4777.1797,,,,,,,,,,,,,,,,,,,,,149.74,,,,1156.55,,,,,5350.1494,,,,6656.4395
30,99301,杭州海得电气科技有限公司,2022,1,CP99018705,福建新大陆环保科技有限公司,15834.689,,,3994.81,,,,,,,,,,,,,22021.07,,,,,11354.5,,,,,,,,,,,,,,,,,7784.83,,,11540.93,,,,,,,,,111775.37,,,,,,,,,,,,,,,,,,,,,11779.641,,,,,11354.5,15834.689,22021.07,11540.93,111775.37,,,,184306.19
31,99301,杭州海得电气科技有限公司,2022,1,CP99019154,浙江新德宝机械有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,274856.62,,,,,,,,,,893.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275750.44,,,,,,,,275750.44
32,99301,杭州海得电气科技有限公司,2022,1,CP99020817,杭州贝拉电气设备有限公司,1126.21,,,1679.24,,,,,,,1396.27,,,,,,2987.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7260.11,,0.0,,,,,,,,,,,,,,,,,,,1679.24,,,,,,1126.21,2987.98,,8656.38,,,0.0,14449.81
33,99301,杭州海得电气科技有限公司,2022,1,CP99021196,杭州飞奥电气工程有限公司,3702.05,,,3296.34,,,,,,,,,,1193.98,,,,,,,,,,,,,,,,,,,,,,,,,7595.02,,,,,,,,,,,,1821.48,,,,,,,,,,,,,,,,,,,,,10891.36,,,,,,4896.0303,,,1821.48,,,,17608.871
34,99301,杭州海得电气科技有限公司,2022,1,CP99021794,浙江金澳兰机床有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0
35,99301,杭州海得电气科技有限公司,2022,1,CP99022129,浙江好得电气有限公司,438.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3946.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.8,3946.46,,,,,,4385.26
36,99301,杭州海得电气科技有限公司,2022,1,CP99024079,上海程轩自动化工程有限公司,52418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163395.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52418.0,163395.36,,,,,,215813.36
37,99301,杭州海得电气科技有限公司,2022,1,CP99024105,宁波耀格新自动化科技有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1931.53,897.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897.67,,,,,,,1931.53,,,,,,2829.2
38,99301,杭州海得电气科技有限公司,2022,1,CP99024959,上海鼎信投资（集团）有限公司,35669.06,,,6511.88,,,,,,,,,,,,,,,,,,3267.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4490.27,,2155.75,,,,,,,,,,,,,,,,,,,6511.88,,,,,3267.25,35669.06,,,4490.27,,,2155.75,52094.207
39,99301,杭州海得电气科技有限公司,2022,1,CP99026694,浙江浙涌电气有限公司,5908.61,,,,,,,,3971.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7203.9795,4431.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4431.61,,,,,,5908.61,11175.0,,,,,,21515.219
40,99301,杭州海得电气科技有限公司,2022,1,CP99028597,杭州合擎电气技术有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86550.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86550.95,,,,,,86550.95
41,99301,杭州海得电气科技有限公司,2022,1,CP99032198,福建五翔实业股份有限公司,,,,,,,,,,,,,209612.47,0.0,,,8249.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209612.47,8249.689,,,,,,217862.16
42,99301,杭州海得电气科技有限公司,2022,1,CP99034101,温岭市海博输送设备有限公司,,,,,,,,,,,658.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970.16,,,,,,,,,,,,371.68,,,,,,,,,,,,,,,,,,,,,1970.16,,,,,,,,,1030.23,,,,3000.3901
43,99301,杭州海得电气科技有限公司,2022,1,CP99034500,浙江硕成自动化设备有限公司,,,,9993.82,,,,,,,2573.45,,,,343.36,,,,,,,,,,,,,,,,,,,757219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757219.0,,9993.82,,,,343.36,,,,,2573.45,,,,770129.6
